panel,strategy,variant,family_size,observations,annualized_arithmetic_return,cash_excess_sharpe,cagr,total_return,max_drawdown,annualized_volatility,annualized_one_way_turnover,annualized_gross_traded_notional,arithmetic_cost_drag,mean_risky_exposure
us_sector_etfs,cross_sectional_momentum,zero_cost,1,2011,0.148782064545,0.63045600788,0.13813449914,1.80823695979,-0.319983960716,0.196618818006,2.69302548234,5.26074017403,-3.33066907388e-16,0.999005469915
us_sector_etfs,learned_gbrt,baseline,5,2011,0.136641265338,0.52883961707,0.120998987924,1.49367665708,-0.399599703247,0.211495721758,6.52502429319,12.6419577421,0.131432404072,0.987379591128
us_sector_etfs,learned_gbrt,costed_comparator,5,2011,0.126220416139,0.551435112484,0.115406421738,1.39071795401,-0.367244611855,0.183882042593,0.545806882771,0.698822731844,0.00725834613169,0.98742737345
us_sector_etfs,learned_gbrt,same_close,5,2011,0.111546849206,0.408899356686,0.0930741913515,1.03840569249,-0.403534521312,0.212121281225,6.39798322243,12.5128334043,0.129608147935,0.98839699565
us_sector_etfs,learned_gbrt,vectorized,5,2011,0.138172978959,0.53229430835,0.122350533497,1.51788757178,-0.404392565279,0.213003577957,6.43262058677,12.4726006962,0.129675693898,0.987369467926
us_sector_etfs,learned_gbrt,zero_cash,5,2011,0.13643565743,0.527866936079,0.120768497913,1.48957194052,-0.399599703247,0.211495820289,6.52496891523,12.6419346065,0.131431971186,0.987382649989
us_sector_etfs,learned_gbrt,zero_cost,5,2011,0.153111163809,0.606472921307,0.139591432422,1.84368987071,-0.398655268238,0.211563758172,6.52325079487,12.6536801837,-3.77475828373e-16,0.987379591128
us_sector_etfs,short_term_reversal,baseline,1,2011,0.110173402373,0.43884135042,0.0954134900584,1.06937596379,-0.450787916028,0.194538299543,8.99246547734,13.79175979,0.143604973988,0.777337165964
us_sector_etfs,short_term_reversal,costed_comparator,1,2011,0.120049519267,0.573845274105,0.112049248517,1.33387186456,-0.367244611855,0.165908113355,4.25483054101,4.32910146463,0.0449540902905,0.777565735719
us_sector_etfs,short_term_reversal,same_close,1,2011,0.0354514296434,0.0549947951577,0.0164630131649,0.139178909741,-0.447727724439,0.195023025891,8.86005417733,13.6503447911,0.141415583353,0.776945176622
us_sector_etfs,short_term_reversal,vectorized,1,2011,0.111411915341,0.442572808931,0.0965180458682,1.08608645684,-0.45292557355,0.195692853405,8.9388363998,13.7006464446,0.14266072121,0.777722526106
us_sector_etfs,short_term_reversal,zero_cash,1,2011,0.104431386399,0.409322779892,0.0891426950711,0.976707703313,-0.450787916028,0.194545296834,8.99241462283,13.7921341503,0.14360586948,0.777370884203
us_sector_etfs,short_term_reversal,zero_cost,1,2011,0.128168655205,0.530640776945,0.115248651661,1.38799679725,-0.450294158699,0.194761801746,8.99542386955,13.8053970107,-1.33226762955e-15,0.777337165964
us_sector_etfs,ts_momentum,baseline,1,2011,0.114431486483,0.493775808201,0.102851763783,1.18420573268,-0.341585504759,0.181474648619,2.25960752924,4.38852457093,0.0456231604509,0.999005469915
us_sector_etfs,ts_momentum,costed_comparator,1,2011,0.125894343507,0.547788307593,0.114912904345,1.38226580479,-0.367244611855,0.184512699534,0.283623304862,0.441687011013,0.00458887331259,0.999005469915
us_sector_etfs,ts_momentum,same_close,1,2011,0.120240960597,0.52590895434,0.109285324436,1.28798105323,-0.341558614345,0.181422168291,2.1339314849,4.26232195126,0.0441872006013,1
us_sector_etfs,ts_momentum,vectorized,1,2011,0.115859038775,0.500129209537,0.10431807389,1.20748823578,-0.341734780699,0.182019380685,2.22217802089,4.31904525112,0.0449055575942,0.999005469915
us_sector_etfs,ts_momentum,zero_cash,1,2011,0.114442901738,0.493838686597,0.102864353761,1.18440472221,-0.341585504759,0.181474617173,2.25960752924,4.38852457093,0.0456231604509,0.999005469915
us_sector_etfs,ts_momentum,zero_cost,1,2011,0.120148560792,0.525125529698,0.109164772653,1.2859975651,-0.341567442062,0.181515027177,2.25793870958,4.3905666285,1.11022302463e-15,0.999005469915
